"","INSTNM","STABBR","ACCREDAGENCY","HIGHDEG","ADM_RATE_ALL","SAT_AVG_ALL","PCIP14","UGDS","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PCTFLOAN","PAR_ED_PCT_PS","DEP_INC_AVG","DEBT_MDN","AGE_ENTRY","FEMALE","VETERAN","FAMINC","GRADS"
"7007","Washington State University-Vancouver","WA","Northwest Commission on Colleges and Universities",0,"0.72044955432114","1054","NULL","NULL","NULL","NULL","9883","24515","NULL","NULL","NULL","NULL","0.6591202346","77550.731518","14772","22.69739777","0.5742963356","0.0036112586","64048.053532","NULL"
"7008","Washington State University-Spokane","WA","Northwest Commission on Colleges and Universities",0,"0.72044955432114","1054","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.6591202346","77550.731518","14772","22.69739777","0.5742963356","0.0036112586","64048.053532","NULL"
"7009","Washington State University-Tri Cities","WA","Northwest Commission on Colleges and Universities",0,"0.72044955432114","1054","NULL","NULL","NULL","NULL","10136","24768","NULL","NULL","NULL","NULL","0.6591202346","77550.731518","14772","22.69739777","0.5742963356","0.0036112586","64048.053532","NULL"
"7010","West Virginia Business College-Nutter Fort","WV","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","10200","NULL","NULL","NULL","NULL","NULL","0.2783505155","24840.142857","9500","30.857142857","0.7593984962","PrivacySuppressed","12609.473684","NULL"
"7011","University of the Virgin Islands-Albert A. Sheen","VI","Middle States Commission on Higher Education",0,"0.91950810508664","807","NULL","NULL","NULL","NULL","5235","14496","NULL","NULL","NULL","NULL","0.5338235294","35758.263848","7366","21.588585018","0.6825208086","PrivacySuppressed","31398.638526","NULL"
"7012","Purdue University - Purdue Polytechnic Anderson","IN","Higher Learning Commission",0,"0.55965474319995","1228","NULL","NULL","NULL","NULL","6518","15579","NULL","NULL","NULL","NULL","0.8146189314","101460.00838","17250","19.969792488","0.4732072498","0.0023640662","98016.657604","NULL"
"7013","Purdue University - Purdue Polytechnic Indianapolis","IN","Higher Learning Commission",0,"0.55965474319995","1228","NULL","NULL","NULL","NULL","8522","27860","NULL","NULL","NULL","NULL","0.8146189314","101460.00838","17250","19.969792488","0.4732072498","0.0023640662","98016.657604","NULL"
"7014","Purdue University - Purdue Polytechnic South Bend","IN","Higher Learning Commission",0,"0.55965474319995","1228","NULL","NULL","NULL","NULL","6740","17576","NULL","NULL","NULL","NULL","0.8146189314","101460.00838","17250","19.969792488","0.4732072498","0.0023640662","98016.657604","NULL"
"7015","Purdue University - Purdue Polytechnic New Albany","IN","Higher Learning Commission",0,"0.55965474319995","1228","NULL","NULL","NULL","NULL","6740","17576","NULL","NULL","NULL","NULL","0.8146189314","101460.00838","17250","19.969792488","0.4732072498","0.0023640662","98016.657604","NULL"
"7016","Purdue University - Purdue Polytechnic Columbus","IN","Higher Learning Commission",0,"0.55965474319995","1228","NULL","NULL","NULL","NULL","8156","27370","NULL","NULL","NULL","NULL","0.8146189314","101460.00838","17250","19.969792488","0.4732072498","0.0023640662","98016.657604","NULL"
